pdb_id,methods,title,coordinate_role,eight_og_nt_count_dssr_output,eight_og_pair_row_count_dssr_output,partner_counts_json,has_8OG_A_pair,has_8OG_C_pair,screen_limit
178D,X-RAY DIFFRACTION,CRYSTAL STRUCTURE OF A DNA DUPLEX CONTAINING 8-HYDROXYDEOXYGUANINE.ADENINE BASE-PAIRS,asu,2,2,"{""DA"": 2}",True,False,DSSR default model handling; absence of a pair row is not proof of no interaction
178D,X-RAY DIFFRACTION,CRYSTAL STRUCTURE OF A DNA DUPLEX CONTAINING 8-HYDROXYDEOXYGUANINE.ADENINE BASE-PAIRS,assembly1,2,2,"{""DA"": 2}",True,False,DSSR default model handling; absence of a pair row is not proof of no interaction
183D,X-RAY DIFFRACTION,"X-RAY STRUCTURE OF A DNA DECAMER CONTAINING 7, 8-DIHYDRO-8-OXOGUANINE",asu,1,0,{},False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
183D,X-RAY DIFFRACTION,"X-RAY STRUCTURE OF A DNA DECAMER CONTAINING 7, 8-DIHYDRO-8-OXOGUANINE",assembly1,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
1FYI,SOLUTION NMR,11-MER DNA DUPLEX CONTAINING A 2'-DEOXYARISTEROMYCIN 8-OXO-GUANINE BASE PAIR;,asu,1,2,"{""2AR"": 1, ""DG"": 1}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
1N2W,SOLUTION NMR,Solution Structure of 8OG:G mismatch containing duplex,asu,2,2,"{""DG"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
2M3P,SOLUTION NMR,DNA containing a cluster of 8-oxo-guanine and abasic site lesion: alpha anomer,asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
2M3Y,SOLUTION NMR,DNA containing a cluster of 8-oxo-guanine and abasic site lesion: beta anomer,asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
2M40,SOLUTION NMR,DNA containing a cluster of 8-oxo-guanine and THF lesion,asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
2M43,SOLUTION NMR,"DNA containing a cluster of 8-oxo-guanine and abasic site lesion: alpha anomer (AP6, 8OG 14)",asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
2M44,SOLUTION NMR,"DNA containing a cluster of 8-oxo-guanine and abasic site lesion: beta anomer (6AP, 8OG14)",asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
2MWZ,SOLUTION NMR,Xanthine and 8-oxoguanine in G-quadruplexes: formation of a G G X O tetrad,asu,1,2,"{""3ZO"": 1, ""DG"": 1}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
5HQF,SOLUTION NMR,DNA duplex containing a ribonolactone lesion,asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
5HQQ,SOLUTION NMR,DNA duplex containing a ribonolactone lesion,asu,1,1,"{""DC"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
5IV1,SOLUTION NMR,Solution Structure of DNA Dodecamer with 8-oxoguanine at 4th Position,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
5IZP,SOLUTION NMR,Solution Structure of DNA Dodecamer with 8-oxoguanine at 10th Position,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
5TRN,SOLUTION NMR,Solution Structure of a DNA Dodecamer with 8-oxoguanine at the 4th position and 5-methylcytosine at the 9th position,asu,2,2,"{""5CM"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
5UZ1,SOLUTION NMR,Solution Structure of a DNA Dodecamer with 5-methylcytosine at the 3rd position and 8-oxoguanine at the 10th position,asu,2,2,"{""5CM"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
5UZ2,SOLUTION NMR,Solution Structure of a DNA Dodecamer with 5-methylcytosine at the 3rd and 9th position and 8-oxoguanine at the 10th position,asu,2,2,"{""5CM"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
5UZ3,SOLUTION NMR,Solution Structure of a DNA Dodecamer with 5-methylcytosine at the 9th position and 8-oxoguanine at the 10th position,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
6ALS,SOLUTION NMR,Solution structure of a DNA dodecamer with 5-methylcytosine at the 3rd and 9th position and 8-oxoguanine at the 4th position,asu,2,2,"{""5CM"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
6ALU,SOLUTION NMR,Solution structure of a DNA dodecamer with 5-methylcytosine at the 3rd and 8-oxoguanine at the 4th position,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
6IA0,SOLUTION NMR,Human telomeric G-quadruplex with 8-oxo-G substitution in the central G-quartet,asu,1,2,"{""DG"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
6IA4,SOLUTION NMR,Human telomeric G-quadruplex with 8-oxo-G substitution in the outer G-quartet,asu,1,2,"{""DG"": 2}",False,False,DSSR default model handling; absence of a pair row is not proof of no interaction
6ZX6,SOLUTION NMR,Antiparallel basket-type G-quadruplex DNA structure formed in human Bcl-2 promoter containing 8-oxoG,asu,1,2,"{""DC"": 1, ""DG"": 1}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
7WGW,SOLUTION NMR,NMR Solution Structure of a cGMP Fill-in Vacancy G-quadruplex Formed in the Oxidized BLM Gene Promoter,asu,1,2,"{""DA"": 1, ""DG"": 1}",True,False,DSSR default model handling; absence of a pair row is not proof of no interaction
8BAF,X-RAY DIFFRACTION,Non-canonical quadruplex containing the oxidation product 8-oxoguanine,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
8BAF,X-RAY DIFFRACTION,Non-canonical quadruplex containing the oxidation product 8-oxoguanine,assembly1,2,4,"{""DC"": 4}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
8BAG,X-RAY DIFFRACTION,Copper(II) bound to a non-canonical quadruplex containing the damaged base 8-oxoguanine,asu,2,2,"{""DC"": 2}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
8BAG,X-RAY DIFFRACTION,Copper(II) bound to a non-canonical quadruplex containing the damaged base 8-oxoguanine,assembly1,2,4,"{""DC"": 4}",False,True,DSSR default model handling; absence of a pair row is not proof of no interaction
